2025-10-21 14:44:34,822 - INFO - Loading input XYZ: 01_all_xtb_sampled/01_all_xtb_sampled_part_5.xyz
2025-10-21 14:44:34,881 - INFO - Loaded 142 frames
2025-10-21 14:44:34,882 - INFO - xTB method initialized: GFN2-xTB
2025-10-21 14:47:17,662 - INFO - Frame 136: energy = -6048.534293 eV, forces OK
2025-10-21 14:47:18,716 - INFO - Frame 137: energy = -6051.271651 eV, forces OK
2025-10-21 14:47:19,801 - INFO - Frame 138: energy = -6051.507672 eV, forces OK
2025-10-21 14:47:20,895 - INFO - Frame 139: energy = -6051.819994 eV, forces OK
2025-10-21 14:47:22,090 - INFO - Frame 140: energy = -6052.453651 eV, forces OK
2025-10-21 14:47:23,170 - INFO - Frame 141: energy = -6052.595781 eV, forces OK
2025-10-21 14:47:23,283 - INFO - Saved extended XYZ: ionpairs_xtb_sample_5.xyz
2025-10-21 14:47:23,284 - INFO - Saved dataset NPZ: ionpairs_xtb_sample_5.npz
z
2025-10-21 14:46:36,047 - INFO - Saved dataset NPZ: ionpairs_xtb_sample_3.npz
